Day,DayAmount
737688,12392990.0
737689,50.0
737690,1229400.0
737691,4139652.94
737697,530690.0
737698,994337.5
737699,4561250.0
737700,125.0
737701,536370.0
737702,32100.0
737704,7235.79
737705,710967.0
737706,1488674.99
737707,12088507.89
737708,5618525.0
737709,1260000.0
737711,16116738.0
737712,485628.8
737713,118879.0
737714,972181.6
737715,865037.5
737716,1703400.0
737718,38254.0
737719,624177.5
737720,293076.1
737721,194504.0
737723,1013450.0
737725,1072.0
737726,7860825.0
737727,125160.0
737728,268922.5
737729,1105.07
737730,618500.0
737731,22030.0
737732,93110.0
737733,20320.04
737734,822000.0
737735,22966.4
737736,29400.0
737738,95880.95
737739,586449.84
737740,730140.0
737741,830775.0
737742,2549100.0
737743,207363.04
737745,2920.0
737746,430274.0
737748,23340.0
737749,2141385.2
737750,1228750.0
737751,22000.0
737752,39588.59
737753,12140.0
737756,380800.0
737757,10917170.0
737758,5181.6
737759,7291470.0
737761,3536840.0
737762,2700600.0
737763,26250.0
737764,5449320.0
737765,12300.0
737766,13512000.0
737767,4700000.0
737768,4930.0
737769,1667390.27
737770,4836560.0
737771,2421000.0
737773,1037400.0
737774,2750.0
737775,1349270.02
737776,727040.0
737777,4120592.0
737778,2975450.8
737779,1676859.24
737780,22258.0
737782,3955.0
737783,14652.0
737784,2993395.0
737785,5294036.19
737786,3821244.0
737788,2159780.0
737789,36630.0
737790,1096000.0
737791,2680000.0
737792,6757395.0
737793,1008170.0
737795,29590.48
737796,187494.0
737797,110286.0
737798,4898490.4
737804,256200.0
737808,5000.0
737809,31920.0
737810,2900.0
737811,46820.0
737812,7888546.0
737813,15340.0
737814,13883100.0
737816,9520.0
737817,2746170.0
737818,4862350.2
737819,890.02
737820,79760.0
737821,8338900.0
737823,51165.11
737824,205700.08
737825,2248390.0
737826,2215240.0
737830,400.0
737834,1125.16
737835,1600.0
737837,17100.0
737838,541957.0
737839,1060100.0
737840,14937494.48
737841,12285.0
737842,29370.28
737844,11980.0
737845,3120.0
737846,5316240.0
737847,3675.0
737848,4096600.0
737850,37160.08
737851,31200.0
737852,31498.0
737853,1500.0
737854,1600.0
737855,3425856.0
737857,4397.0
737858,1296800.0
737859,5003600.0
737860,3630770.0
737861,2308400.0
737862,3288970.0
737864,20660.0
737865,8500.0
737866,14107.98
737867,6518880.0
737868,120.0
737869,2410.0
737870,23000.0
737871,20426610.0
737872,51900.0
737873,7290000.0
737874,68690.0
737875,725000.0
737877,23000.0
737881,382169.0
737882,25821.59
737883,0.0
737885,0.0
737887,3003200.0
737888,8886100.0
737889,7736200.0
737890,11230.0
737892,39342.4
737893,7460.0
737894,700.0
737895,800.0
737904,9388750.0
737906,39385.0
737907,726000.0
737909,0.0
737912,36319000.0
737913,4433136.99
737914,8920000.0
737916,8530.0
737917,87110.0
737919,3695.0
737920,140.0
737921,2370.0
737922,9191682.24
737923,47901.0
737924,3250.0
737926,8780.0
737927,349372.32
737928,8520.11
737929,247935.74
737930,7050.03
737931,208982.0
737932,1024538.0
737933,15799970.16
737934,171498.52000000002
737935,1332005.0
737936,9373049.0
737937,92750.0
737938,698787.68
737939,23213.0
737940,75250.15
737941,1473858.17
737942,1102440.97
737943,703091.2
737944,725771.4
737946,56188.36
737947,638177.71
737948,52170.0
737949,6682581.53
737950,41779300.0
737951,868.0
737953,83053.0
737954,1713457.43
737955,3138883.41
737956,22670.0
737957,120370.4
737958,55460.0
737959,7200000.0
737960,8175.0
737961,96107.29
737962,52470.0
737963,75945.0
737964,214932.55
737965,15298100.02
737966,604590.4
737967,767446.4
737968,15160.0
737969,12094.0
737970,25952210.0
737971,2780.0
737972,65631.59
737974,27375.0
737975,95510.0
737976,88760.0
737977,113995.0
737978,5700.0
737979,178760.0
737981,32300.0
737982,29316.0
737983,2226.0
737984,20.0
737986,0.0
737988,7755.0
737989,8240.0
737990,180797.04
737991,7884208.0
737992,90110.0
737993,275768.1
737995,62765.0
737996,311423.0
737997,167117.0
737998,110964.31
737999,53500.0
738001,73290.0
738002,6960.0
738003,720.2
738004,24335.0
738005,148860.2
738006,45850.0
738008,5840.0
738009,3800.0
738010,10320.0
738011,114116.0
738012,6270.0
738013,27000.0
738015,80982.04000000001
738016,140700.0
738017,19693416.18
738018,221056.29
738019,254547.0
738020,90020.0
738021,0.0
738022,63990.04
738023,50000.0
738025,260250.0
738026,204064.78
738029,5969290.0
738030,10240.0
738031,54101.0
738032,27024000.0
738033,2530.0
738034,0.0
738036,60874.0
738037,5110.0
738038,2130.0
738040,2500.0
738043,795.0
738044,4620.0
738045,129110.3
738046,1920.0
738047,75900.0
738049,0.0
738050,28299.0
738051,8330.04
738052,158554.0
738053,48863.0
738054,17500.0
738055,25.0
738061,2754.0
738062,50000.0
738063,0.0
738064,50.0
738066,127634.0
738068,22650.87
738069,41826.0
738070,3750.0
738072,14700.0
738073,0.0
738075,680.0
738076,101225.0
738077,66850.0
738078,155375.0
738079,0.0
738081,1348760.0
738082,65265.0
738083,1750.0
738084,37350.0
738085,17665.0
738086,0.0
738087,13860.0
738089,2490.0
738090,5720.0
