Unnamed: 0,Brand,Year,months,days,Qty,Rate,Amount
271,9,2018,9,17,12,2820.0,33840.0
272,22,2018,9,17,10,3300.0,33000.0
273,10,2018,9,17,7,2480.0,17360.0
274,57,2018,9,17,5,3250.0,16250.0
275,76,2018,9,17,10,1500.0,15000.0
276,65,2018,9,17,30,1800.0,54000.0
277,10,2018,9,17,7,2480.0,17360.0
278,9,2018,9,17,6,2820.0,16920.0
279,65,2018,9,18,30,1500.0,45000.0
280,27,2018,9,18,21,2470.0,51870.0
281,67,2018,9,18,14,2150.0,30100.0
282,10,2018,9,18,35,2480.0,86800.0
283,22,2018,9,18,15,3300.0,49500.0
284,9,2018,9,18,12,2820.0,33840.0
285,10,2018,9,18,21,2480.0,52080.0
286,76,2018,9,18,40,1500.0,60000.0
287,10,2018,9,18,21,2500.0,52500.0
288,9,2018,9,18,18,2850.0,51300.0
289,22,2018,9,18,15,3300.0,49500.0
290,22,2018,9,18,25,3300.0,82500.0
291,9,2018,9,18,30,2820.0,84600.0
292,9,2018,9,18,180,2820.0,507600.0
293,22,2018,9,18,50,3300.0,165000.0
294,65,2018,9,18,200,1800.0,360000.0
295,65,2018,9,18,300,1500.0,450000.0
296,76,2018,9,18,200,1500.0,300000.0
297,27,2018,9,18,154,2470.0,380380.0
298,65,2018,9,19,200,1500.0,300000.0
299,27,2018,9,19,140,2470.0,345800.0
300,10,2018,9,19,140,2480.0,347200.0
301,22,2018,9,19,100,3300.0,330000.0
302,76,2018,9,19,200,1500.0,300000.0
303,65,2018,9,19,100,1500.0,150000.0
304,27,2018,9,19,70,2470.0,172900.0
305,65,2018,9,19,50,1500.0,75000.0
306,27,2018,9,19,35,2470.0,86450.0
307,65,2018,9,19,50,1500.0,75000.0
308,27,2018,9,19,35,2470.0,86450.0
309,65,2018,9,19,50,1500.0,75000.0
310,27,2018,9,19,35,2470.0,86450.0
311,65,2018,9,19,50,1500.0,75000.0
312,27,2018,9,19,35,2470.0,86450.0
313,65,2018,9,19,30,1500.0,45000.0
314,27,2018,9,19,21,2470.0,51870.0
315,27,2018,9,19,70,2470.0,172900.0
316,65,2018,9,19,200,1500.0,300000.0
317,76,2018,9,19,50,1500.0,75000.0
318,10,2018,9,19,21,2480.0,52080.0
319,27,2018,9,19,21,2470.0,51870.0
320,9,2018,9,19,12,2820.0,33840.0
321,22,2018,9,19,10,3300.0,33000.0
322,65,2018,9,20,90,1800.0,162000.0
323,53,2018,9,20,10,1800.0,18000.0
324,76,2018,9,20,50,1500.0,75000.0
325,65,2018,9,20,50,1500.0,75000.0
326,9,2018,9,20,12,2820.0,33840.0
327,10,2018,9,20,14,2480.0,34720.0
328,27,2018,9,20,14,2470.0,34580.0
329,22,2018,9,20,5,3300.0,16500.0
330,65,2018,9,20,50,1500.0,75000.0
331,10,2018,9,20,21,2480.0,52080.0
332,9,2018,9,20,18,2820.0,50760.0
333,22,2018,9,20,15,3300.0,49500.0
334,27,2018,9,20,35,2470.0,86450.0
335,76,2018,9,20,30,1500.0,45000.0
336,65,2018,9,20,30,1800.0,54000.0
337,65,2018,9,20,50,1500.0,75000.0
338,76,2018,9,20,50,1500.0,75000.0
339,22,2018,9,20,25,3300.0,82500.0
340,57,2018,9,20,25,3250.0,81250.0
341,9,2018,9,20,30,2820.0,84600.0
342,57,2018,9,20,10,3250.0,32500.0
343,22,2018,9,20,5,3300.0,16500.0
344,65,2018,9,20,50,1500.0,75000.0
345,65,2018,9,20,50,1800.0,90000.0
346,27,2018,9,20,35,2470.0,86450.0
347,9,2018,9,20,30,2820.0,84600.0
348,22,2018,9,20,25,3300.0,82500.0
349,76,2018,9,20,50,1500.0,75000.0
350,57,2018,9,20,25,3250.0,81250.0
351,65,2018,9,20,50,1500.0,75000.0
352,70,2018,9,22,240,2050.0,492000.0
353,46,2018,9,22,140,2460.0,344400.0
354,33,2018,9,22,120,2850.0,342000.0
355,27,2018,9,22,175,2470.0,432250.0
356,57,2018,9,22,25,3300.0,82500.0
357,65,2018,9,22,300,1500.0,450000.0
358,70,2018,9,22,40,2050.0,82000.0
359,33,2018,9,22,30,2850.0,85500.0
360,57,2018,9,22,10,3300.0,33000.0
361,70,2018,9,22,80,2050.0,164000.0
362,33,2018,9,22,30,2850.0,85500.0
363,9,2018,9,22,30,2820.0,84600.0
364,22,2018,9,22,25,3300.0,82500.0
365,76,2018,9,22,50,1500.0,75000.0
366,70,2018,9,22,40,2050.0,82000.0
367,65,2018,9,22,50,1800.0,90000.0
368,33,2018,9,22,30,2850.0,85500.0
369,27,2018,9,22,35,2470.0,86450.0
370,9,2018,9,22,30,2820.0,84600.0
371,22,2018,9,22,25,3300.0,82500.0
372,57,2018,9,22,25,3300.0,82500.0
373,33,2018,9,22,30,2850.0,85500.0
374,46,2018,9,22,35,2460.0,86100.0
375,70,2018,9,22,40,2050.0,82000.0
376,70,2018,9,22,80,2050.0,164000.0
377,33,2018,9,22,30,2850.0,85500.0
378,46,2018,9,22,7,2460.0,17220.0
379,65,2018,9,22,30,1500.0,45000.0
380,27,2018,9,22,7,2470.0,17290.0
381,33,2018,9,22,6,2850.0,17100.0
382,70,2018,9,22,16,2050.0,32800.0
