,Day,DayAmount
426,737690,1229400.0
427,737691,4139652.9400000004
428,737697,530690.0
429,737698,994337.5
430,737699,4561250.0
431,737700,125.0
432,737701,536370.0
433,737702,32100.0
434,737704,7235.79
435,737705,710967.0
436,737706,1488674.99
437,737707,12088507.89
438,737708,5618525.0
439,737709,1260000.0
440,737711,16116738.0
441,737712,485628.8
442,737713,118879.0
443,737714,972181.6
444,737715,865037.5
445,737716,1703400.0
446,737718,38254.0
447,737719,624177.5
448,737720,293076.1
449,737721,194504.0
450,737723,1013450.0
451,737725,1072.0
452,737726,7860825.0
453,737727,125160.0
454,737728,268922.5
455,737729,1105.07
456,737730,618500.0
457,737731,22030.0
458,737732,93110.0
459,737733,20320.04
460,737734,822000.0
461,737735,22966.4
462,737736,29400.0
463,737738,95880.95
464,737739,586449.84
465,737740,730140.0
466,737741,830775.0
467,737742,2549100.0
468,737743,207363.04
469,737745,2920.0
470,737746,430274.0
471,737748,23340.0
472,737749,2141385.1999999997
473,737750,1228750.0
474,737751,22000.0
475,737752,39588.59
476,737753,12140.0
477,737756,380800.0
478,737757,10917170.0
479,737758,5181.6
480,737759,7291470.0
481,737761,3536840.0
482,737762,2700600.0
483,737763,26250.0
484,737764,5449320.0
485,737765,12300.0
486,737766,13512000.0
487,737767,4700000.0
488,737768,4930.0
489,737769,1667390.27
490,737770,4836560.0
491,737771,2421000.0
492,737773,1037400.0
493,737774,2750.0
494,737775,1349270.02
495,737776,727040.0
496,737777,4120592.0
497,737778,2975450.8
498,737779,1676859.24
499,737780,22258.0
500,737782,3955.0
501,737783,14652.0
502,737784,2993395.0
503,737785,5294036.19
504,737786,3821244.0
505,737788,2159780.0
506,737789,36630.0
507,737790,1096000.0
508,737791,2680000.0
509,737792,6757395.0
510,737793,1008170.0
511,737795,29590.48
512,737796,187494.0
513,737797,110286.0
514,737798,4898490.4
515,737804,256200.0
516,737808,5000.0
517,737809,31920.0
518,737810,2900.0
519,737811,46820.0
520,737812,7888546.0
521,737813,15340.0
522,737814,13883100.0
