Brand,Year,months,days,Qty,Rate,Amount
65,2018,9,17,30,1800.0,54000.0
10,2018,9,17,7,2480.0,17360.0
9,2018,9,17,6,2820.0,16920.0
65,2018,9,18,30,1500.0,45000.0
27,2018,9,18,21,2470.0,51870.0
67,2018,9,18,14,2150.0,30100.0
10,2018,9,18,35,2480.0,86800.0
22,2018,9,18,15,3300.0,49500.0
9,2018,9,18,12,2820.0,33840.0
10,2018,9,18,21,2480.0,52080.0
76,2018,9,18,40,1500.0,60000.0
10,2018,9,18,21,2500.0,52500.0
9,2018,9,18,18,2850.0,51300.0
22,2018,9,18,15,3300.0,49500.0
22,2018,9,18,25,3300.0,82500.0
9,2018,9,18,30,2820.0,84600.0
9,2018,9,18,180,2820.0,507600.0
22,2018,9,18,50,3300.0,165000.0
65,2018,9,18,200,1800.0,360000.0
65,2018,9,18,300,1500.0,450000.0
76,2018,9,18,200,1500.0,300000.0
27,2018,9,18,154,2470.0,380380.0
65,2018,9,19,200,1500.0,300000.0
27,2018,9,19,140,2470.0,345800.0
10,2018,9,19,140,2480.0,347200.0
22,2018,9,19,100,3300.0,330000.0
76,2018,9,19,200,1500.0,300000.0
65,2018,9,19,100,1500.0,150000.0
27,2018,9,19,70,2470.0,172900.0
65,2018,9,19,50,1500.0,75000.0
27,2018,9,19,35,2470.0,86450.0
65,2018,9,19,50,1500.0,75000.0
27,2018,9,19,35,2470.0,86450.0
65,2018,9,19,50,1500.0,75000.0
27,2018,9,19,35,2470.0,86450.0
65,2018,9,19,50,1500.0,75000.0
27,2018,9,19,35,2470.0,86450.0
65,2018,9,19,30,1500.0,45000.0
27,2018,9,19,21,2470.0,51870.0
27,2018,9,19,70,2470.0,172900.0
65,2018,9,19,200,1500.0,300000.0
76,2018,9,19,50,1500.0,75000.0
10,2018,9,19,21,2480.0,52080.0
27,2018,9,19,21,2470.0,51870.0
9,2018,9,19,12,2820.0,33840.0
22,2018,9,19,10,3300.0,33000.0
65,2018,9,20,90,1800.0,162000.0
53,2018,9,20,10,1800.0,18000.0
76,2018,9,20,50,1500.0,75000.0
65,2018,9,20,50,1500.0,75000.0
9,2018,9,20,12,2820.0,33840.0
10,2018,9,20,14,2480.0,34720.0
27,2018,9,20,14,2470.0,34580.0
22,2018,9,20,5,3300.0,16500.0
65,2018,9,20,50,1500.0,75000.0
10,2018,9,20,21,2480.0,52080.0
9,2018,9,20,18,2820.0,50760.0
22,2018,9,20,15,3300.0,49500.0
27,2018,9,20,35,2470.0,86450.0
76,2018,9,20,30,1500.0,45000.0
65,2018,9,20,30,1800.0,54000.0
